homeCity,2016,2025,2035,2050
Carlsbad,21.1,19.9,19.5,18.9
Chula Vista,16.5,15.2,14.3,14.0
Coronado,17.6,15.8,14.7,14.3
Del Mar,24.2,22.2,21.8,20.7
El Cajon,15.6,14.6,13.4,13.1
Encinitas,22.1,20.2,19.5,18.6
Escondido,16.8,15.3,14.3,13.8
Imperial Beach,16.2,14.9,13.8,13.0
La Mesa,17.3,16.4,15.4,14.7
Lemon Grove,16.4,15.3,14.5,14.4
National City,13.1,11.8,10.2,9.7
Oceanside,17.7,17.1,16.2,15.8
Poway,21.5,20.6,20.4,20.2
San Diego,17.6,16.2,14.9,14.2
San Marcos,17.5,16.2,15.5,14.5
Santee,20.8,19.5,19.0,18.8
Solana Beach,23.5,22.0,20.8,20.4
Unincorporated,26.4,25.5,25.0,24.8
Vista,16.0,15.3,14.7,14.4
